smoking_status,sex,attained_age_group,broad_age_group,history_variable,n_unweighted,weighted_n,mean,sd,p05,p25,p50,p75,p95,minimum,maximum,weighting_status,fallback_level
current_unspecified,male,all,all,years_since_quitting,36,36.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,unweighted_equal_weights,sex_status
current_unspecified,male,all,all,cigarettes_per_day,36,36.000000,18.111111,10.141225,1.750000,14.500000,20.000000,20.000000,37.500000,1.000000,50.000000,unweighted_equal_weights,sex_status
current_unspecified,male,all,all,smoking_duration,36,36.000000,43.361111,11.164108,25.250000,36.750000,43.500000,50.500000,58.500000,16.000000,66.000000,unweighted_equal_weights,sex_status
current_unspecified,male,all,all,pack_years_standard,36,36.000000,38.320833,22.044288,2.812500,24.875000,38.650000,47.500000,73.375000,2.700000,105.750000,unweighted_equal_weights,sex_status
former,female,all,all,age_at_initiation,45,45.000000,17.622222,3.990266,12.000000,15.000000,18.000000,20.000000,24.600000,10.000000,30.000000,unweighted_equal_weights,sex_status
former,female,all,all,age_at_stopping,45,45.000000,42.444444,12.315097,23.600000,32.000000,42.000000,52.000000,60.000000,19.000000,62.000000,unweighted_equal_weights,sex_status
former,female,all,all,years_since_quitting,45,45.000000,19.088889,12.976941,1.200000,9.000000,17.000000,29.000000,41.800000,0.000000,48.000000,unweighted_equal_weights,sex_status
former,female,all,all,cigarettes_per_day,45,45.000000,15.711111,10.259413,1.200000,10.000000,15.000000,20.000000,28.000000,1.000000,60.000000,unweighted_equal_weights,sex_status
former,female,all,all,smoking_duration,45,45.000000,24.822222,11.886373,10.000000,15.000000,23.000000,36.000000,43.600000,5.000000,47.000000,unweighted_equal_weights,sex_status
former,female,all,all,pack_years_standard,45,45.000000,22.437778,23.778715,1.020000,7.500000,17.250000,30.750000,54.000000,0.250000,132.000000,unweighted_equal_weights,sex_status
former,male,all,all,age_at_initiation,66,66.000000,15.969697,3.830926,10.000000,14.000000,16.000000,18.000000,21.750000,8.000000,30.000000,unweighted_equal_weights,sex_status
former,male,all,all,age_at_stopping,66,66.000000,42.272727,12.770815,24.000000,30.500000,40.000000,50.000000,64.000000,20.000000,75.000000,unweighted_equal_weights,sex_status
former,male,all,all,years_since_quitting,66,66.000000,24.772727,13.255821,3.000000,13.500000,26.000000,33.750000,47.500000,1.000000,52.000000,unweighted_equal_weights,sex_status
former,male,all,all,cigarettes_per_day,66,66.000000,22.696970,14.700047,5.000000,14.250000,20.000000,30.000000,40.000000,1.000000,100.000000,unweighted_equal_weights,sex_status
former,male,all,all,smoking_duration,66,66.000000,26.303030,13.506659,7.250000,15.250000,25.000000,35.000000,49.500000,4.000000,62.000000,unweighted_equal_weights,sex_status
former,male,all,all,pack_years_standard,66,66.000000,31.740152,33.087867,3.312500,11.375000,28.000000,43.000000,66.000000,0.800000,240.000000,unweighted_equal_weights,sex_status
current_unspecified,all,all,all,age_at_initiation,71,71.000000,17.957746,6.381752,12.000000,14.500000,17.000000,19.500000,30.000000,2.000000,36.000000,unweighted_equal_weights,status
current_unspecified,all,all,all,years_since_quitting,71,71.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,unweighted_equal_weights,status
current_unspecified,all,all,all,cigarettes_per_day,71,71.000000,15.492958,8.585491,3.500000,10.000000,15.000000,20.000000,25.000000,1.000000,50.000000,unweighted_equal_weights,status
current_unspecified,all,all,all,smoking_duration,71,71.000000,42.816901,9.607006,27.000000,37.000000,42.000000,49.500000,57.500000,16.000000,66.000000,unweighted_equal_weights,status
current_unspecified,all,all,all,pack_years_standard,71,71.000000,32.527465,18.711341,7.125000,19.250000,33.000000,41.625000,58.500000,2.700000,105.750000,unweighted_equal_weights,status
former,all,all,all,age_at_initiation,111,111.000000,16.639640,3.962994,10.000000,14.000000,16.000000,19.000000,23.500000,8.000000,30.000000,unweighted_equal_weights,status
former,all,all,all,age_at_stopping,111,111.000000,42.342342,12.531775,23.500000,32.000000,40.000000,51.000000,61.000000,19.000000,75.000000,unweighted_equal_weights,status
former,all,all,all,years_since_quitting,111,111.000000,22.468468,13.381004,2.000000,11.500000,21.000000,32.000000,46.000000,0.000000,52.000000,unweighted_equal_weights,status
former,all,all,all,cigarettes_per_day,111,111.000000,19.864865,13.478256,3.500000,10.000000,20.000000,20.000000,40.000000,1.000000,100.000000,unweighted_equal_weights,status
former,all,all,all,smoking_duration,111,111.000000,25.702703,12.839282,7.500000,15.000000,23.000000,36.000000,46.500000,4.000000,62.000000,unweighted_equal_weights,status
former,all,all,all,pack_years_standard,111,111.000000,27.968919,29.902360,2.900000,9.500000,21.000000,37.250000,64.000000,0.250000,240.000000,unweighted_equal_weights,status
